c_last_name|c_first_name|c_salutation|c_preferred_cust_flag|ss_ticket_number|cnt
Shields|Craig|Dr.|Y|1257560|16
Shields|Doris|Ms.|N|1912810|15
Shields|Estelle|Dr.|N|2179888|16
Shipman|Josephine|Dr.|N|1983494|16
Shoemaker|Anna|Dr.|N|1743170|15
Shoemaker|Marsha|Ms.|N|329270|15
Shuler|Cesar|Mr.|N|1818395|15
Sibley|Norman|Mr.|Y|1422290|15
Sigmon|Howard|Dr.|N|1087785|16
Silas|Edgar|Sir|N|1275404|16
Silva|Janna|Mrs.|N|310967|16
Silvia|Nellie|Dr.|N|2256134|16
Simmons|Hazel|Miss|Y|242888|15
Simmons|Kristina|Dr.|N|261616|15
Simmons|Louis|Sir|Y|1336679|15
Simmons|Walter|Sir|Y|1357033|16
Simons|James|Mr.|N|928454|15
Simpson|Anthony|Miss|N|1441130|16
Sims|Dustin|Dr.|Y|1783577|16
Sims|Kevin|Sir|N|439372|16
Singleton|Jose|Sir|Y|239968|15
Sisson|Anna|Ms.|Y|1363272|16
Slade|Tom|Sir|N|488010|15
Slater|Pedro|Mr.|N|2212216|15
Slaughter|Terrance|Dr.|Y|473312|15
Sledge|Adam|Miss|N|1978113|15
Slone|Manuel|Sir|Y|1971409|15
Smith|Alphonso|Mr.|N|1340686|15
Smith|Bobby|Mr.|Y|259809|16
Smith|Diane|Miss|Y|11423|15
Smith|Edith|NULL|Y|435175|16
Smith|Gerald|Dr.|Y|87759|15
Smith|Herbert|Dr.|Y|1405779|15
Smith|Jose|Dr.|Y|1541343|15
Smith|Joseph|NULL|NULL|676438|15
Smith|Kathleen|Ms.|N|1477316|15
Smith|Lester|Dr.|N|1815470|16
Smith|Margie|Dr.|Y|2301494|15
Smith|Millicent|Miss|Y|2053165|15
Smith|Ray|Mr.|N|2201640|15
Smith|Robbi|Ms.|Y|1780629|15
Smith|Ronald|Sir|Y|1445427|15
Smith|Roxanne|Dr.|N|950752|15
Smith|Sue|Mrs.|Y|689066|15
Smith|Virginia|Miss|Y|383032|15
Smoot|Vicky|Miss|N|254780|16
Snyder|Christi|Miss|Y|1523093|15
Snyder|Derrick|Sir|N|2108914|15
Snyder|Horacio|Dr.|N|2081841|16
Snyder|Marilyn|Dr.|Y|2196663|15
Snyder|Muriel|Mrs.|Y|1445799|15
Snyder|Rose|Ms.|N|1401379|15
Snyder|Ruth|Mrs.|N|2211846|15
Snyder|Tamara|Ms.|Y|1412452|15
Solomon|Clara|Dr.|N|24449|15
Solomon|Melissa|Miss|N|2211392|15
Sorensen|Irma|Miss|Y|1392001|15
Southerland|Marie|Ms.|N|26519|15
Spann|Joseph|Mr.|Y|91065|15
Spear|Albert|Mrs.|Y|1643121|15
Spencer|Amber|Mrs.|Y|1022913|15
Spencer|Bernadette|Miss|N|1174003|16
Spencer|Diane|Ms.|N|2228657|15
Spencer|Ruby|Miss|N|1174320|15
Sperry|Katherine|Mrs.|N|880193|15
Stahl|William|Dr.|N|2117026|15
Stamm|Herman|Sir|Y|1412405|16
Stanley|Eugene|Dr.|N|636491|15
Starr|Verna|Miss|N|2269481|15
Steele|Angela|Miss|N|2185754|15
Stein|Ricky|Mr.|N|377985|15
Stephens|Lawrence|Sir|N|298904|15
Stephens|Rosie|Ms.|Y|2218557|15
Stephens|Tina|Ms.|N|441322|15
Stephenson|Erminia|NULL|NULL|1521348|15
Stevens|Constance|Mrs.|Y|1275187|16
Stevenson|Leonel|Sir|Y|897998|15
Stewart|Anthony|Miss|Y|2195311|16
Stewart|Bryan|Sir|N|1471483|15
Stewart|Emory|Dr.|Y|801703|16
Stewart|Josephine|Dr.|Y|1754504|15
Stewart|Michael|Mr.|N|1511114|15
Stewart|Rachel|Miss|N|1308172|15
Stine|Melvin|Dr.|N|2301847|15
Stokes|Brenda|Dr.|Y|401788|15
Stout|Amy|Dr.|Y|1097425|15
Stpierre|Denise|Miss|Y|259715|15
Street|Norman|Dr.|Y|566875|15
Suarez|Jerry|Mr.|Y|1641363|16
Summers|Gina|Miss|N|1024458|16
Sumner|Walter|Sir|N|595648|15
Sutton|Casey|Dr.|Y|931329|15
Sutton|Elizabeth|Mrs.|Y|2226004|15
Sutton|Sheila|Ms.|N|1806000|16
Swafford|Laurena|Ms.|Y|2336385|16
Swain|Marybeth|Mrs.|Y|1974655|15
Swann|Henrietta|Dr.|N|623280|15
Taggart|Anthony|Ms.|N|1528091|15
Talley|Theresa|Mrs.|Y|2255917|15
Tanner|Howard|Mr.|Y|544635|15
Tanner|Marie|Mrs.|N|926730|15
Taylor|Camilla|Miss|Y|2149427|15
Taylor|Dennis|Dr.|N|2205655|15
Taylor|Melvin|Dr.|N|750025|15
Taylor|Sue|Ms.|N|1809996|15
Teal|Veronica|Dr.|N|706681|15
Thomas|Daniel|Sir|Y|1377904|16
Thomas|Debra|Ms.|N|1219759|15
Thomas|John|Dr.|Y|2353836|15
Thomas|Monique|Ms.|N|1162630|15
Thomas|Robert|Mr.|N|339802|16
Thomas|Sonia|Dr.|Y|2397312|15
Thomason|Donald|Sir|N|2260932|15
Thomason|James|Dr.|Y|434901|16
Thompson|Bernadine|Mrs.|Y|1805324|15
Thompson|David|Sir|Y|2377535|15
Thompson|Dwight|Mr.|N|141619|16
Thompson|Lisa|Mrs.|Y|640698|15
Thompson|Peter|Sir|Y|700997|16
Thompson|Tina|Ms.|N|1924690|15
Thorn|Dean|Dr.|N|536649|15
Thornton|Bradley|Mr.|Y|1425527|16
Thurman|Roxanne|Mrs.|Y|898803|15
Tindall|Dorothy|Miss|Y|530299|15
Tinsley|Charlie|Dr.|N|23881|16
Torres|Joe|Dr.|N|1773289|15
Torres|Marlene|Dr.|N|868592|15
Torres|Stella|NULL|NULL|1896446|16
Toth|Michael|Dr.|N|1305414|16
Tovar|Michael|Sir|Y|2130719|15
Townsend|Meredith|Dr.|N|190083|15
Trent|Daniel|NULL|NULL|480887|15
Trujillo|NULL|Mr.|N|152239|16
Tucker|Brian|Sir|Y|874455|16
Tucker|Cynthia|Ms.|N|298203|15
Tucker|Virginia|Miss|Y|919421|16
Turner|Kimberly|Mrs.|Y|2217899|15
Turner|Stephanie|Miss|Y|1573917|15
Tyree|Juanita|Mrs.|Y|1136368|16
Ulmer|Deborah|Miss|N|2213347|16
Underwood|Elizabeth|Dr.|N|98796|15
Underwood|Lawrence|Dr.|Y|1495556|15
Valdez|Alex|Miss|N|986265|15
Valdez|Cheryl|Dr.|N|2135364|15
Valencia|Michael|Mr.|Y|2097574|15
Valerio|Mark|Sir|N|1275728|15
Valle|John|Sir|Y|1266236|15
Vance|Robert|Mr.|Y|40132|16
Vandyke|Antonio|Miss|N|1481941|15
Vargas|Nadia|Miss|N|1311898|16
Vasquez|Brian|Mr.|Y|522472|15
Vaughan|Juan|Sir|Y|2244683|15
Vaughn|Ernest|Sir|N|976588|15
Vaughn|William|Dr.|N|471022|15
Velasquez|Denny|Mr.|N|1038952|15
Velez|Lorenzo|Sir|N|1324287|15
Vickers|Elva|Ms.|Y|396407|15
Villarreal|Lessie|Miss|Y|1883503|16
Vinson|Kathy|Mrs.|Y|790305|15
Vogt|Irvin|Dr.|Y|1747333|15
Vogt|Travis|Sir|Y|2363461|15
Vu|Michelle|Ms.|N|1426665|15
Waggoner|Sheila|Ms.|Y|1413968|15
Wagner|Jose|Sir|N|2246265|15
Wagner|Margaret|Dr.|Y|1180601|15
Wagner|Nicole|Dr.|N|886491|16
Walden|Betty|Dr.|Y|399030|15
Walden|Phyllis|Ms.|N|2144504|15
Waldron|Larry|Mr.|Y|629019|15
Waldrop|Chad|Sir|N|283004|16
Walker|Bonnie|Dr.|Y|2345696|15
Walker|Don|Mr.|Y|693723|15
Walker|Elizabeth|Ms.|Y|910226|15
Walker|Maurice|Mr.|N|1454357|16
Walker|Samuel|Dr.|Y|443615|15
Walker|Vincent|Dr.|Y|1308787|15
Wallace|NULL|NULL|NULL|2339580|15
Wallace|Jeanne|Ms.|N|1685224|15
Walls|Reva|Ms.|Y|2122322|15
Walter|Judith|Miss|N|2139985|16
Walton|Doris|Ms.|N|684473|15
Ward|Stephanie|Dr.|Y|1981402|15
Ward|Tina|Miss|N|2202804|15
Warden|Zachary|Sir|N|317396|16
Ware|Bryant|Dr.|N|1081328|15
Warner|Johnnie|Mr.|Y|2125432|15
Warner|Linda|Dr.|N|1326610|16
Warren|Dennis|Sir|Y|1693276|16
Waters|Phyllis|Miss|Y|1466361|15
Watkins|Donald|Dr.|NULL|2388263|15
Watson|Caitlin|Ms.|N|1109059|15
Watson|Gwendolyn|Ms.|N|1728246|16
Watson|James|Dr.|N|779702|16
Watson|Nancy|Dr.|Y|1105650|15
Watters|Eileen|Miss|Y|382865|16
Watts|Kathleen|Ms.|Y|1742269|15
Waugh|Barbara|Dr.|Y|120030|16
Weaver|Theodore|Dr.|N|429590|16
Webster|Thomasine|Dr.|N|1792632|16
Weiss|Jorge|Dr.|N|2357653|15
Welch|Barbara|Ms.|Y|1935909|15
Welch|Peggy|Mrs.|N|556129|16
Wells|Justin|Mr.|N|2011323|15
Wells|Susan|Dr.|N|778990|16
Wells|Vanessa|Dr.|Y|771601|15
Wells|Viki|Miss|Y|1477423|16
Wentworth|Jack|Sir|N|670353|15
West|Clara|Miss|Y|609051|15
West|Yvonne|NULL|N|358332|16
Wetzel|Bebe|Dr.|Y|82518|16
Wheeler|Rhonda|Dr.|N|568861|15
Whelan|Fred|Mr.|Y|947469|15
Whitaker|Melodie|Mrs.|Y|1542076|15
White|Anthony|Dr.|Y|523809|15
White|Diane|Dr.|N|82960|16
White|Gloria|Ms.|Y|2009438|15
White|Jennifer|Miss|Y|1336876|15
White|Joe|Mr.|N|2379943|16
White|Lavada|Ms.|N|878743|16
White|Leo|Mr.|N|2221307|15
White|Robert|Mr.|Y|1339270|15
White|Steve|Dr.|Y|339227|15
White|Yolanda|Mrs.|Y|1469111|16
Whitlock|Doris|Mrs.|N|1156405|15
Whittaker|Christina|Miss|N|2190164|15
Wickham|Lois|Ms.|Y|1916558|16
Wicks|NULL|NULL|NULL|694292|15
Wilber|Brittney|Mrs.|Y|1171223|16
Wilbur|Terry|Sir|N|200312|15
Wild|William|Mr.|Y|703976|16
Wilder|Pablo|Mr.|Y|418048|15
Wilkinson|Scott|Mr.|Y|1705306|16
Willey|Gary|Sir|N|1433621|15
Williams|Andrea|Dr.|N|1629560|15
Williams|Archie|Mr.|Y|113007|15
Williams|Bernice|Mrs.|N|448080|15
Williams|Daniel|Sir|N|376120|15
Williams|David|Sir|Y|704042|15
Williams|Deirdre|Dr.|Y|2313800|15
Williams|Donald|Sir|N|1089982|15
Williams|James|Mr.|N|444263|15
Williams|Jeanette|Miss|N|1404650|15
Williams|Jennifer|Miss|Y|1159747|15
Williams|Jennifer|Ms.|Y|74295|16
Williams|Judith|Miss|Y|1523379|15
Williams|Kenneth|Mr.|N|1376245|15
Williams|Nina|Miss|N|744831|16
Williams|Phillip|Mr.|N|621059|15
Williams|Robert|Mr.|Y|872283|15
Williams|Robert|Mr.|N|1364114|15
Williams|Ruth|Dr.|N|1229023|16
Williams|Tiffany|Ms.|N|2113315|16
Williams|Timothy|Mr.|N|576508|16
Williams|Trisha|Miss|Y|1572072|15
Williams|Wayne|Sir|N|857215|15
Williamson|Heath|Sir|N|1952290|16
Willis|Douglas|Mr.|N|1822124|15
Wilson|Alfredo|Dr.|Y|1234501|16
Wilson|Christopher|Dr.|N|1321764|15
Wilson|Elke|Ms.|N|1819394|16
Wilson|Michelle|Mrs.|Y|334900|15
Wilson|Valerie|Mrs.|N|1542487|15
Winfield|Maribel|Dr.|Y|1908051|16
Wiseman|Donna|Miss|N|1889507|15
Wolf|Stephanie|Ms.|N|180849|16
Wong|Fannie|Dr.|N|2307445|15
Wong|Wendy|Dr.|N|1605328|16
Wood|Deborah|Miss|Y|2277885|15
Woodard|William|Dr.|N|100636|15
Woods|Larry|Dr.|N|709382|15
Woods|Robert|Mr.|Y|1636378|15
Woodward|Christena|Ms.|Y|2153583|16
Workman|Anne|Mrs.|N|872293|15
Worrell|Evelyn|Miss|N|1984152|15
Worthy|Brian|Dr.|N|292999|15
Wright|NULL|Dr.|Y|2058205|16
Wright|Amanda|Miss|Y|1437779|16
Wright|Damian|Dr.|N|382763|15
Wright|David|Sir|N|1308042|15
Wright|John|Mr.|Y|1638777|15
Wright|Judith|Ms.|N|584625|15
Wright|Margaret|Ms.|Y|2037716|15
Wright|Patti|Dr.|N|2263864|15
Wu|Jeffrey|Sir|N|1552223|15
Wynn|Rachel|Ms.|N|1347029|15
Xiong|Michael|Sir|N|2028647|15
Yancey|NULL|Ms.|NULL|735227|16
Yarborough|David|Sir|N|873467|16
Yarbrough|Beth|Mrs.|N|433933|15
Yates|Juan|Sir|N|184034|16
Yates|Laura|Dr.|Y|1027337|15
Yoo|Alan|Mr.|Y|768520|15
Young|Charles|Dr.|Y|445935|15
Young|Charles|Mr.|N|2055810|15
Young|Darrell|Dr.|Y|600698|16
Young|Gary|Mr.|Y|1368780|15
Young|Irma|Dr.|N|87081|15
Young|James|Dr.|Y|1305190|16
Zimmerman|James|Mr.|Y|1082597|15
